epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,479.071,1.46623,0.93339,1.3284,0.89228,0.78892,0.89657,0.44823,1.58985,0.99006,1.44836,0.0011684,0.0011684,0.0011684
44,489.791,1.42607,0.88847,1.32494,0.81178,0.87075,0.89901,0.47793,1.59216,0.94724,1.44454,0.0011486,0.0011486,0.0011486
45,500.885,1.4531,0.95073,1.33218,0.81712,0.7415,0.82403,0.42211,1.66557,1.11616,1.48314,0.0011288,0.0011288,0.0011288
46,512.069,1.39942,0.91385,1.32258,0.78879,0.84354,0.85692,0.47187,1.58612,1.0088,1.46169,0.001109,0.001109,0.001109
47,523.228,1.39715,0.88239,1.27751,0.83033,0.86395,0.91678,0.48658,1.57186,0.91698,1.4216,0.0010892,0.0010892,0.0010892
48,534.478,1.3598,0.90184,1.29837,0.83438,0.71971,0.84516,0.45236,1.6233,1.03725,1.48274,0.0010694,0.0010694,0.0010694
49,545.54,1.33201,0.8519,1.258,0.82477,0.83253,0.87344,0.48817,1.56909,0.89074,1.45428,0.0010496,0.0010496,0.0010496
50,556.238,1.33303,0.83647,1.2744,0.77071,0.84354,0.86208,0.46921,1.5878,0.97449,1.48431,0.0010298,0.0010298,0.0010298
51,567.11,1.34242,0.85072,1.26727,0.80579,0.84678,0.89548,0.49831,1.54705,0.89091,1.42472,0.00101,0.00101,0.00101
52,578.374,1.37435,0.86417,1.30535,0.83475,0.87755,0.88727,0.47184,1.60332,0.87615,1.50552,0.0009902,0.0009902,0.0009902
53,589.478,1.34962,0.84326,1.30399,0.89717,0.89033,0.92114,0.49975,1.59842,0.89455,1.48665,0.0009704,0.0009704,0.0009704
54,600.783,1.33485,0.80017,1.28148,0.86955,0.86154,0.91373,0.48815,1.58759,0.88247,1.44943,0.0009506,0.0009506,0.0009506
55,612.131,1.40967,0.85373,1.28587,0.78259,0.72109,0.769,0.39488,1.72584,1.17452,1.55824,0.0009308,0.0009308,0.0009308
56,623.184,1.31329,0.77601,1.29061,0.84218,0.87121,0.90111,0.51977,1.53966,0.86554,1.41357,0.000911,0.000911,0.000911
57,634.014,1.32267,0.8082,1.27206,0.86368,0.862,0.90293,0.50008,1.5902,0.83042,1.4665,0.0008912,0.0008912,0.0008912
58,645.011,1.33241,0.80746,1.26974,0.80548,0.87323,0.89864,0.49263,1.60041,0.86595,1.45596,0.0008714,0.0008714,0.0008714
59,656.183,1.34832,0.81872,1.27853,0.87566,0.82993,0.8835,0.45232,1.66696,0.9265,1.50659,0.0008516,0.0008516,0.0008516
60,667.392,1.23854,0.77978,1.23826,0.8677,0.85034,0.89917,0.51247,1.5811,0.84035,1.42513,0.0008318,0.0008318,0.0008318
61,678.717,1.25621,0.76456,1.22996,0.82409,0.88435,0.8964,0.49257,1.61115,0.82304,1.49193,0.000812,0.000812,0.000812
62,689.65,1.26223,0.78696,1.22677,0.87218,0.87075,0.92537,0.50544,1.59328,0.83605,1.4561,0.0007922,0.0007922,0.0007922
63,701.581,1.2598,0.77618,1.23098,0.83265,0.88004,0.89919,0.50766,1.64765,0.85444,1.50915,0.0007724,0.0007724,0.0007724
64,712.694,1.28293,0.77895,1.23763,0.87782,0.87978,0.91126,0.47261,1.62715,0.87065,1.48469,0.0007526,0.0007526,0.0007526
65,724.051,1.30406,0.77927,1.24828,0.89153,0.83673,0.88952,0.47925,1.61152,0.89607,1.47287,0.0007328,0.0007328,0.0007328
66,735.448,1.2754,0.75368,1.23623,0.8845,0.88565,0.91458,0.49523,1.58285,0.85151,1.43873,0.000713,0.000713,0.000713
67,746.754,1.24109,0.7312,1.20622,0.81514,0.89988,0.90402,0.48477,1.59742,0.83244,1.48432,0.0006932,0.0006932,0.0006932
68,758.188,1.22457,0.74748,1.201,0.85368,0.86395,0.89935,0.5179,1.59224,0.82437,1.49204,0.0006734,0.0006734,0.0006734
69,769.644,1.27583,0.7291,1.22264,0.85879,0.86882,0.92453,0.51372,1.52615,0.79929,1.47057,0.0006536,0.0006536,0.0006536
70,780.303,1.20482,0.73714,1.19573,0.88224,0.88435,0.9201,0.52785,1.56314,0.81674,1.41986,0.0006338,0.0006338,0.0006338
71,791.683,1.25228,0.73549,1.22124,0.868,0.84991,0.90895,0.5059,1.60391,0.82852,1.45391,0.000614,0.000614,0.000614
72,802.953,1.24999,0.74828,1.237,0.89362,0.85716,0.92897,0.49762,1.55019,0.80882,1.46084,0.0005942,0.0005942,0.0005942
73,814.301,1.2157,0.73933,1.18865,0.84073,0.89796,0.91559,0.51184,1.55112,0.80691,1.44629,0.0005744,0.0005744,0.0005744
74,825.532,1.19436,0.72035,1.19916,0.85792,0.87755,0.9343,0.51717,1.56252,0.81412,1.42809,0.0005546,0.0005546,0.0005546
75,836.817,1.16357,0.69718,1.15247,0.90155,0.87213,0.93556,0.51569,1.54718,0.80223,1.42801,0.0005348,0.0005348,0.0005348
76,847.85,1.20693,0.70691,1.20256,0.89723,0.89116,0.94025,0.5437,1.53227,0.77021,1.42778,0.000515,0.000515,0.000515
77,858.48,1.16371,0.68282,1.17348,0.88434,0.88423,0.92741,0.53641,1.54852,0.77809,1.44107,0.0004952,0.0004952,0.0004952
78,869.617,1.21119,0.68128,1.18455,0.92034,0.86459,0.95102,0.53728,1.53057,0.76247,1.42009,0.0004754,0.0004754,0.0004754
79,880.771,1.15451,0.68539,1.16233,0.88437,0.88447,0.94489,0.52398,1.5705,0.78553,1.44094,0.0004556,0.0004556,0.0004556
80,891.887,1.19699,0.7052,1.17016,0.87196,0.85714,0.91994,0.53491,1.56076,0.74089,1.43668,0.0004358,0.0004358,0.0004358
81,903.078,1.16628,0.67609,1.18381,0.86681,0.88549,0.92906,0.51069,1.56621,0.7795,1.44504,0.000416,0.000416,0.000416
82,914.423,1.14431,0.66769,1.17176,0.89085,0.89116,0.9389,0.53753,1.57818,0.74566,1.43673,0.0003962,0.0003962,0.0003962
83,925.172,1.17244,0.66861,1.16575,0.87499,0.85707,0.93647,0.53627,1.55177,0.7645,1.43627,0.0003764,0.0003764,0.0003764
84,936.218,1.0968,0.64354,1.14389,0.88471,0.88743,0.93667,0.54406,1.54586,0.77145,1.42853,0.0003566,0.0003566,0.0003566
